"ISO","Country","Region","rank2015","score2015","rank2016","score2016","rank2017","score2017","rank2018","score2018","rank2019","score2019"
"ROU","Romania","Central and Eastern Europe",86,5.124,71,5.528,57,5.825,52,5.945,48,6.07
"RUS","Russia","Central and Eastern Europe",64,5.716,56,5.856,49,5.963,59,5.81,68,5.648
"RWA","Rwanda","Sub-Saharan Africa",154,3.465,152,3.515,151,3.471,151,3.408,152,3.334
"SAU","Saudi Arabia","Middle East and Northern Africa",35,6.411,34,6.379,37,6.344,33,6.371,28,6.375
"SEN","Senegal","Sub-Saharan Africa",142,3.904,128,4.219,115,4.535,109,4.631,111,4.681
"SRB","Serbia","Central and Eastern Europe",87,5.123,86,5.177,73,5.395,78,5.398,70,5.603
"SLE","Sierra Leone","Sub-Saharan Africa",123,4.507,111,4.635,106,4.709,113,4.571,129,4.374
"SGP","Singapore","Southeastern Asia",24,6.798,22,6.739,26,6.572,34,6.343,34,6.262
"SVK","Slovakia","Central and Eastern Europe",45,5.995,45,6.078,40,6.098,39,6.173,38,6.198
"SVN","Slovenia","Central and Eastern Europe",55,5.848,63,5.768,62,5.758,51,5.948,44,6.118
"SOM","Somaliland region","Sub-Saharan Africa",91,5.057,NA,NA,NA,NA,NA,NA,NA,NA
"ZAF","South Africa","Sub-Saharan Africa",113,4.642,116,4.459,101,4.829,105,4.724,106,4.722
"KOR","South Korea","Eastern Asia",47,5.984,57,5.835,55,5.838,57,5.875,54,5.895
"ESP","Spain","Western Europe",36,6.329,37,6.361,34,6.403,36,6.31,30,6.354
"LKA","Sri Lanka","Southern Asia",132,4.271,117,4.415,120,4.44,116,4.471,130,4.366
"SDN","Sudan","Sub-Saharan Africa",118,4.55,133,4.139,130,4.139,137,4.139,NA,NA
"SUR","Suriname","Latin America and Caribbean",40,6.269,40,6.269,NA,NA,NA,NA,NA,NA
"SWZ","Swaziland","Sub-Saharan Africa",101,4.867,NA,NA,NA,NA,NA,NA,135,4.212
"SWE","Sweden","Western Europe",8,7.364,10,7.291,9,7.284,9,7.314,7,7.343
"CHE","Switzerland","Western Europe",1,7.587,2,7.509,4,7.494,5,7.487,6,7.48
"SYR","Syria","Middle East and Northern Africa",156,3.006,156,3.069,152,3.462,150,3.462,149,3.462
"TWN","Taiwan","Eastern Asia",38,6.298,34,6.379,NA,NA,26,6.441,25,6.446
"TJK","Tajikistan","Central and Eastern Europe",106,4.786,100,4.996,96,5.041,88,5.199,74,5.467
"TZA","Tanzania","Sub-Saharan Africa",146,3.781,149,3.666,153,3.349,153,3.303,153,3.231
"THA","Thailand","Southeastern Asia",34,6.455,33,6.474,32,6.424,46,6.072,52,6.008
"TGO","Togo","Sub-Saharan Africa",158,2.839,155,3.303,150,3.495,139,3.999,139,4.085
"TTO","Trinidad and Tobago","Latin America and Caribbean",41,6.168,43,6.168,38,6.168,NA,NA,NA,NA
"TUN","Tunisia","Middle East and Northern Africa",107,4.739,98,5.045,102,4.805,111,4.592,124,4.461
"TUR","Turkey","Middle East and Northern Africa",76,5.332,78,5.389,69,5.5,74,5.483,79,5.373
"TKM","Turkmenistan","Central and Eastern Europe",70,5.548,65,5.658,59,5.822,68,5.636,87,5.247
"UGA","Uganda","Sub-Saharan Africa",141,3.931,145,3.739,133,4.081,135,4.161,136,4.189
"UKR","Ukraine","Central and Eastern Europe",111,4.681,123,4.324,132,4.096,138,4.103,133,4.332
"ARE","United Arab Emirates","Middle East and Northern Africa",20,6.901,28,6.573,21,6.648,20,6.774,21,6.825
"GBR","United Kingdom","Western Europe",21,6.867,23,6.725,19,6.714,11,7.19,15,7.054
"USA","United States","North America",15,7.119,13,7.104,14,6.993,18,6.886,19,6.892
"URY","Uruguay","Latin America and Caribbean",32,6.485,29,6.545,28,6.454,31,6.379,33,6.293
"UZB","Uzbekistan","Central and Eastern Europe",44,6.003,49,5.987,47,5.971,44,6.096,41,6.174
"VEN","Venezuela","Latin America and Caribbean",23,6.81,44,6.084,82,5.25,102,4.806,108,4.707
"VNM","Vietnam","Southeastern Asia",75,5.36,96,5.061,94,5.074,95,5.103,94,5.175
"YEM","Yemen","Middle East and Northern Africa",136,4.077,147,3.724,146,3.593,152,3.355,151,3.38
"ZMB","Zambia","Sub-Saharan Africa",85,5.129,106,4.795,116,4.514,125,4.377,138,4.107
"ZWE","Zimbabwe","Sub-Saharan Africa",115,4.61,131,4.193,138,3.875,144,3.692,146,3.663
